Date	Experiment	Site	Incubation	Treatment	Timepoint	Time	Code	Salinity	Expected.conc.Nox	Expected.conc.NH4	sample.autoanalyzer	NH4	PO4	NO2	NO3	Comments
NA	Nitrification	Ambient 	Light/Dark 	Y	T3	17	Nit_C_L_6h_+Epi_1	37	0.525479821	23.34663847	F29	1.212	0.055	0.026	0.323	NA
01.07.20	Nitrification	Ambient 	Light/Dark 	Y	T3	17	Nit_C_L_6h_+Epi_2	NA	0.525479821	23.34663847	F61_new	1.695	0.073	0.04	0.241	NA
NA	Nitrification	Ambient 	Light/Dark 	Ctrl	T3	17	Nit_C_L_6h_C1	32	0.525479821	23.34663847	F40	20.49	0.06	0.094	0.712	NA
08.07.20	Nitrification	Ambient 	Light/Dark 	Ctrl	T3	17	Nit_C_L_6h_C2	NA	0.525479821	23.34663847	F137	20.178	0.128	0.09	2.261	NA
07.07.20	Nitrification	Ambient 	Start	NA	T0	0	A_Start_a	NA	0.525479821	23.34663847	F90	23.73	0.022	0.065	0.551	NA
08.07.20	Nitrification	Ambient 	Start 	NA	T0	0	C_Start_c	NA	0.525479821	23.34663847	F123	20.91125	0.056	0.08	0.643	NA
NA	Nitrification	Vent 	After	NA	T0	0	Start_A_After	37	10.52547982	23.34663847	F47	22.01	0.033	0.026	0.547	NA
NA	Nitrification	Vent 	Before	NA	T0	0	Start_A_Before_a	32	10.52547982	23.34663847	F43	0.895	0.056	0.064	0.606	NA
08.07.20	Nitrification	Vent 	Dark	N	T1	2	Nit_A_D_1h_-Epi_1	NA	0.525479821	23.34663847	F129	21.2975	0.106	0.093	1.584	NA
08.07.20	Nitrification	Vent 	Dark	N	T1	2	Nit_A_D_1h_-Epi_2	NA	0.525479821	23.34663847	F130	23.958	0.145	0.069	2.631	NA
NA	Nitrification	Vent 	Dark	N	T1	2	Nit_A_D_1h_-Epi_3	25	0.525479821	23.34663847	F77	14.64	0.088	0.067	1.229	NA
08.07.20	Nitrification	Vent 	Dark	Y	T1	2	Nit_A_D_1h_+Epi_1	NA	0.525479821	23.34663847	F124	14.51	0.085	0.083	0.816	NA
NA	Nitrification	Vent 	Dark	Y	T1	2	Nit_A_D_1h_+Epi_2	37	0.525479821	23.34663847	F78	20.02	0.055	0.074	0.739	NA
08.07.20	Nitrification	Vent 	Dark	Y	T1	2	Nit_A_D_1h_+Epi_3	NA	0.525479821	23.34663847	F122	17.0625	0.061	0.073	2.038	NA
08.07.20	Nitrification	Vent 	Dark	Y	T1	2	Nit_A_D_1h_+Epi_4	NA	0.525479821	23.34663847	F131	19.248	0.145	0.111	1.924	NA
NA	Nitrification	Vent 	Dark	Ctrl	T1	2	Nit_A_D_1h_C1	22	0.525479821	23.34663847	F76	16.66	0.056	0.081	0.382	NA
08.07.20	Nitrification	Vent 	Dark	Ctrl	T1	2	Nit_A_D_C2_(1h)	NA	0.525479821	23.34663847	F127	19.8418	0.069	0.07	0.731	NA
09.07.20	Nitrification	Vent 	Dark	N	T2	5	Nit_A_D_3h_-Epi_1	NA	0.525479821	23.34663847	F155	9.188	0.009	0.034	0.368	NA
09.07.20	Nitrification	Vent 	Dark	N	T2	5	Nit_A_D_3h_-Epi_2	NA	0.525479821	23.34663847	F154	10.105	0.019	0.051	0.565	NA
NA	Nitrification	Vent 	Dark	N	T2	5	Nit_A_D_3h_-Epi_3	38	0.525479821	23.34663847	F41	14.03	0.031	0.036	0.378	NA
NA	Nitrification	Vent 	Dark	Y	T2	5	Nit_A_D_3h_+Epi_1	37	0.525479821	23.34663847	F49	17.49	0.107	0.026	1.007	NA
09.07.20	Nitrification	Vent 	Dark	Y	T2	5	Nit_A_D_3h_+Epi_2	NA	0.525479821	23.34663847	F157	7.945	0.023	0.041	0.388	NA
09.07.20	Nitrification	Vent 	Dark	Y	T2	5	Nit_A_D_3h_+Epi_3	NA	0.525479821	23.34663847	F158	7.669	0.039	0.048	0.557	NA
09.07.20	Nitrification	Vent 	Dark	Y	T2	5	Nit_A_D_3h_+Epi_4	NA	0.525479821	23.34663847	F160	8.259	0.032	0.058	0.324	NA
NA	Nitrification	Vent 	Dark	Ctrl	T2	5	Nit_A_D_3h_C1	38	0.525479821	23.34663847	F37	19.72	0.029	0.037	0.606	NA
09.07.20	Nitrification	Vent 	Dark	Ctrl	T2	5	Nit_A_D_3h_C2	NA	0.525479821	23.34663847	F153	18.545	0.473	0.064	1.629	NA
08.07.20	Nitrification	Vent 	Light	Ctrl	T1	2	Nit_A_L_(1h)_C2	NA	0.525479821	23.34663847	F133	23.808	0.071	0.067	0.698	NA
08.07.20	Nitrification	Vent 	Light	Ctrl	T1	2	Nit_A_L_(1h)_C3	NA	0.525479821	23.34663847	F132	22.608	0.071	0.062	0.683	NA
08.07.20	Nitrification	Vent 	Light	N	T1	2	Nit_A_L_1h_-Epi_1	NA	0.525479821	23.34663847	F128	13.9225	0.08	0.084	2.834	NA
08.07.20	Nitrification	Vent 	Light	N	T1	2	Nit_A_L_1h_-Epi_2	NA	0.525479821	23.34663847	F134	22.128	0.165	0.114	3.189	NA
NA	Nitrification	Vent 	Light	N	T1	2	Nit_A_L_1h_-Epi_3	37	0.525479821	23.34663847	F80	13.2	0.046	0.051	0.621	NA
08.07.20	Nitrification	Vent 	Light	Y	T1	2	Nit_A_L_1h_+Epi_1	NA	0.525479821	23.34663847	F125	18.11	0.153	0.087	4.905	NA
08.07.20	Nitrification	Vent 	Light	Y	T1	2	Nit_A_L_1h_+Epi_2	NA	0.525479821	23.34663847	F121	19.635	0.106	0.071	2.61	NA
NA	Nitrification	Vent 	Light	Y	T1	2	Nit_A_L_1h_+Epi_3	37	0.525479821	23.34663847	F79	13.21	0.057	0.056	0.84	NA
08.07.20	Nitrification	Vent 	Light	Y	T1	2	Nit_A_L_1h_+Epi_4	NA	0.525479821	23.34663847	F126	22.188	0.189	0.112	3.32	NA
NA	Nitrification	Vent 	Light	Ctrl	T1	2	Nit_A_L_1h_C1	37	0.525479821	23.34663847	F75	21.19	0.064	0.068	0.822	NA
NA	Nitrification	Vent 	Light	N	T2	5	Nit_A_L_3h_-Epi_1	37	0.525479821	23.34663847	F42	8.54	0.058	0.075	0.516	NA
09.07.20	Nitrification	Vent 	Light	N	T2	5	Nit_A_L_3h_-Epi_2	NA	0.525479821	23.34663847	F159	7.047	0.031	0.053	0.6	NA
09.07.20	Nitrification	Vent 	Light	N	T2	5	Nit_A_L_3h_-Epi_3	NA	0.525479821	23.34663847	F152	7.903	0.022	0.05	0.474	NA
09.07.20	Nitrification	Vent 	Light	Y	T2	5	Nit_A_L_3h_+Epi_1	NA	0.525479821	23.34663847	F161	6.585	0.035	0.036	0.297	NA
09.07.20	Nitrification	Vent 	Light	Y	T2	5	Nit_A_L_3h_+Epi_2	NA	0.525479821	23.34663847	F151	6.242	0.015	0.038	1.033	NA
NA	Nitrification	Vent 	Light	Y	T2	5	Nit_A_L_3h_+Epi_3	34	0.525479821	23.34663847	F45	5.521	0.049	0.031	0.597	NA
09.07.20	Nitrification	Vent 	Light	Y	T2	5	Nit_A_L_3h_+Epi_4	NA	0.525479821	23.34663847	F156	6.716	0.027	0.062	0.981	NA
NA	Nitrification	Vent 	Light	Ctrl	T2	5	Nit_A_L_3h_C1	38	0.525479821	23.34663847	F48	28.83	0.07	0.042	0.9	NA
NA	Nitrification	Vent 	Light	Ctrl	T2	5	Nit_A_L_3h_C2	28	0.525479821	23.34663847	F27	1.038	0.053	0.017	7.417	NA
01.07.20	Nitrification	Vent 	Light	Ctrl	T2	5	Nit_A_L_3h_C2	NA	0.525479821	23.34663847	F27_new	16.84	0.109	0.099	1.138	NA
NA	Nitrification	Vent 	Light/Dark 	N	T3	17	Nit_A_L_6h_-Epi_1	35	0.525479821	23.34663847	F33	2.789	0.056	0.031	0.389	NA
NA	Nitrification	Vent 	Light/Dark 	Y	T3	17	Nit_A_L_6h_+Epi_1	38	0.525479821	23.34663847	F31	3.251	0.059	0.034	0.466	NA
01.07.20	Nitrification	Vent 	Light/Dark 	Y	T3	17	Nit_A_L_6h_+Epi_2	NA	0.525479821	23.34663847	F31_new	1.108	0.084	0.03	0.116	NA
08.07.20	Nitrification	Vent 	Light/Dark 	Ctrl	T3	17	Nit_A_L_6h_C1	NA	0.525479821	23.34663847	F138	20.608	0.059	0.101	1.281	NA
NA	Nitrification	Vent 	Light/Dark 	Ctrl	T3	17	Nit_A_L_6h_C2	38	0.525479821	23.34663847	F32	18.66	0.035	0.033	0.648	NA
07.07.20	Nitrification	Vent 	Start	NA	T0	0	C_Start_b	NA	0.525479821	23.34663847	F97	15.988	0.027	0.032	0.543	NA
01.07.20	Nitrification	Vent 	Start 	NA	T0	0	Start_A_	NA	0.525479821	23.34663847	F43_new	22.01	0.058	0.035	0.541	NA
