Experiment	Date	Time	Duration	Site	Incubation	Treatment	Sample	Timepoint 	pH	Oxygen	Leaf.DW	Epiphyte.DW
Denitrification	13.09.19	00:49	5.4	Vent	Dark	Y	3	T2 	#NV	184.6	0.019	0.003
Denitrification	13.09.19	00:52	5.45	Vent	Dark	Y	4	T2 	#NV	172.5	0.02	0.01
Denitrification	13.09.19	00:54	5.48	Vent	Dark	N	1	T2 	#NV	173.7	0.026	#NV
Denitrification	13.09.19	00:56	5.52	Vent	Dark	N	2	T2 	#NV	196.4	0.019	#NV
Denitrification	13.09.19	01:01	5.6	Vent	Dark	N	3	T2 	#NV	190	0.017	#NV
Denitrification	13.09.19	01:04	5.65	Ambient 	Light	Y	1	T2 	8.33	535.6	0.031	0.022
Denitrification	13.09.19	01:06	5.68	Ambient 	Light	Y	2	T2 	8.4	597.4	0.034	0.022
Denitrification	13.09.19	01:10	5.75	Ambient 	Light	Y	3	T2 	#NV	559.9	0.024	0.017
Denitrification	13.09.19	01:15	5.83	Ambient 	Light	Y	4	T2 	#NV	477.6	0.022	0.015
Denitrification	13.09.19	01:17	5.87	Ambient 	Light	N	1	T2 	#NV	436.2	0.032	#NV
Denitrification	13.09.19	01:19	5.9	Ambient 	Light	N	2	T2 	#NV	598.4	0.03	#NV
Denitrification	13.09.19	01:21	5.93	Ambient 	Light	N	3	T2 	#NV	584.8	0.025	#NV
Denitrification	13.09.19	01:25	6	Ambient 	Dark	Y	1	T2 	7.92	177.2	0.031	0.023
Denitrification	13.09.19	01:29	6.07	Ambient 	Dark	Y	2	T2 	7.89	200.4	0.025	0.017
Denitrification	13.09.19	01:33	6.13	Ambient 	Dark	Y	3	T2 	#NV	176	0.03	0.024
Denitrification	13.09.19	01:34	6.15	Ambient 	Dark	Y	4	T2 	#NV	161.5	0.029	0.024
Denitrification	13.09.19	01:37	6.2	Ambient 	Dark	N	1	T2 	#NV	178.1	0.033	#NV
Denitrification	13.09.19	01:40	6.25	Ambient 	Dark	N	2	T2 	#NV	159.7	0.025	#NV
Denitrification	13.09.19	01:42	6.28	Ambient 	Dark	N	3	T2 	#NV	168.7	0.035	#NV
Denitrification	13.09.19	01:50	6.42	Vent	Light	C	1	T2 	7.32	231.8	#NV	#NV
Denitrification	13.09.19	01:55	6.5	Vent	Light	C	2	T2 	#NV	221.5	#NV	#NV
Denitrification	13.09.19	01:57	6.53	Vent	Dark	C	1	T2 	#NV	225.5	#NV	#NV
Denitrification	13.09.19	02:00	6.58	Vent	Dark	C 	2	T2 	#NV	226.9	#NV	#NV
Denitrification	13.09.19	02:03	6.63	Ambient 	Light	C 	1	T2 	#NV	224.7	#NV	#NV
Denitrification	13.09.19	02:06	6.68	Ambient 	Light	C 	2	T2 	#NV	224.6	#NV	#NV
Denitrification	13.09.19	02:07	6.7	Ambient 	Dark	C 	1	T2 	#NV	222.4	#NV	#NV
Denitrification	13.09.19	02:08	6.72	Ambient 	Dark	C	2	T2 	#NV	224.8	#NV	#NV
Nitrification	16.09.19	16:00	0	Vent	Start	Start	1	T0	7.14	222.2	#NV	#NV
Nitrification	16.09.19	16:00	0	Ambient 	Start	Start	1	T0	8.11	222.4	#NV	#NV
Nitrification	16.09.19	21:15	5.25	Vent	Light	Y	1	T2 	7.7	460	0.021	0.008
Nitrification	16.09.19	21:20	5.33	Vent	Light	Y	2	T2 	#NV	427	0.013	0.012
Nitrification	16.09.19	21:21	5.35	Vent	Light	Y	3	T2 	#NV	458	0.017	0.012
Nitrification	16.09.19	21:23	5.38	Vent	Light	Y	4	T2 	7.83	550	0.022	0.008
Nitrification	16.09.19	21:26	5.43	Vent	Light	N	1	T2 	7.64	426	0.02	#NV
