Sample	Site	Phase	Treatment	Timepoint	Incubation	Label	delta15N	atom_perc	atom_perc_ex	timesSD	medium_atom_perc_ex	N_ug	g_DW_ind	rate_ng_h	rate_nmol_h
Leaf	Ambient	Start	Start	T0	0	Fix_C_+Epi_T0_a	5.366351769	0.368431411	NA	NA	NA	NA	NA	NA	NA
Leaf	Ambient	Start	Start	T0	0	Fix_C_+Epi_T0_b	3.310340316	0.367680726	NA	NA	NA	NA	NA	NA	NA
Leaf	Ambient	Start	Start	T0	0	Fix_C_+Epi_T0_c	4.944189497	0.368277273	NA	NA	NA	NA	NA	NA	NA
Leaf	Ambient	Start	Start	T0	0	Fix_C_+Epi_T0_d	3.435162334	0.367726301	NA	NA	NA	NA	NA	NA	NA
Leaf	Ambient	Start	Start	T0	0	Fix_C_+Epi_T0_e	6.564846106	0.368868997	NA	NA	NA	NA	NA	NA	NA
Leaf	Ambient	Start	Start	T0	0	Fix_C_+Epi_T0_f	5.975239663	0.368653725	NA	NA	NA	NA	NA	NA	NA
Leaf	Ambient	Start	Start	T0	0	Fix_C_+Epi_T0_g	5.964076718	0.368649649	NA	NA	NA	NA	NA	NA	NA
Leaf	Ambient	Light	Y	T1	5	Fix_C_L_T1_+Epi_a	5.691091979	0.368549978	0.00022311	0.479963667	17.25963472	4206.319869	0.042	0	0
Leaf	Ambient	Light	Y	T1	5	Fix_C_L_T1_+Epi_b	5.257766762	0.368391765	6.49E-05	0.139608148	17.25963472	2552.272407	0.052	0	0
Leaf	Ambient	Light	Y	T1	5	Fix_C_L_T1_+Epi_c	6.023950694	0.36867151	0.000344641	0.741406986	17.25963472	2565.40806	0.047	0	0
Leaf	Ambient	Light	Y	T1	5	Fix_C_L_T1_+Epi_d	4.674249197	0.368178714	-0.000148155	-0.318717737	17.25963472	2626.832167	0.058	0	0
Leaf	Ambient	Light	N	T1	5	Fix_C_L_T1_-Epi_a	4.892434026	0.368258377	-6.85E-05	-0.147343481	16.05113567	3444.899771	0.019	0	0
Leaf	Ambient	Light	N	T1	5	Fix_C_L_T1_-Epi_b	4.629597418	0.368162411	-0.000164458	-0.353789711	16.05113567	2282.394434	0.022	0	0
Leaf	Ambient	Light	N	T1	5	Fix_C_L_T1_-Epi_c	4.297753517	0.368041249	-0.00028562	-0.614438609	16.05113567	2222.53765	0.028	0	0
Leaf	Ambient	Light	Ctrl	T1	5	Fix_C_L_T1_C1	4.579871574	0.368144255	-0.000182614	-0.392847151	NA	2238.584044	0.04	NA	NA
Leaf	Ambient	Light	Ctrl	T1	5	Fix_C_L_T1_C2	4.79095271	0.368221324	-0.000105545	-0.227052403	NA	2864.691984	0.036	NA	NA
Leaf	Ambient	Light	Ctrl	T1	5	Fix_C_L_T1_C3	4.311960901	0.368046436	-0.000280433	-0.603279316	NA	2480.548753	0.049	NA	NA
Leaf	Ambient	Dark	Y	T1	5	Fix_C_D_T1_+Epi_a	4.517967971	0.368121653	-0.000205216	-0.441469698	15.9329135	2633.847801	0.043	0	0
Leaf	Ambient	Dark	Y	T1	5	Fix_C_D_T1_+Epi_b	4.503760587	0.368116466	-0.000210403	-0.452628974	15.9329135	2446.739372	0.048	0	0
Leaf	Ambient	Dark	Y	T1	5	Fix_C_D_T1_+Epi_c	4.8518415	0.368243556	-8.33E-05	-0.179227043	15.9329135	1455.818509	0.052	0	0
Leaf	Ambient	Dark	Y	T1	5	Fix_C_D_T1_+Epi_d	5.396796164	0.368442527	0.000115658	0.248808983	15.9329135	2453.605737	0.053	0	0
Leaf	Ambient	Dark	N	T1	5	Fix_C_D_T1_-Epi_a	6.797238319	0.368953846	0.000626977	1.348781988	16.69676328	2229.777186	0.026	0	0
Leaf	Ambient	Dark	N	T1	5	Fix_C_D_T1_-Epi_b	4.865034071	0.368248372	-7.85E-05	-0.168864884	16.69676328	2572.946134	0.029	0	0
Leaf	Ambient	Dark	N	T1	5	Fix_C_D_T1_-Epi_c	5.751980769	0.36857221	0.000245341	0.527788712	16.69676328	2826.180637	0.017	0	0
Leaf	Ambient	Dark	Ctrl	T1	5	Fix_C_D_T1_C1	4.307901648	0.368044954	-0.000281915	-0.606467685	NA	1138.025255	0.054	NA	NA
Leaf	Ambient	Dark	Ctrl	T1	5	Fix_C_D_T1_C2	5.043641186	0.368313585	-1.33E-05	-0.028577297	NA	3137.629967	0.028	NA	NA
Leaf	Ambient	Dark	Ctrl	T1	5	Fix_C_D_T1_C3	3.682776744	0.36781671	-0.000510159	-1.097477692	NA	1781.448375	0.034	NA	NA
Leaf	Ambient	Light	Y	T2	18	Fix_C_+Epi_L_T2_a_	5.07879919	0.368326421	-4.47E-07	-0.000962341	13.29256929	2000.732796	0.059	0	0
Leaf	Ambient	Light	Y	T2	18	Fix_C_+Epi_L_T2_b	5.120217747	0.368341544	1.47E-05	0.031569977	13.29256929	2868.67251	0.024	0	0
Leaf	Ambient	Light	Y	T2	18	Fix_C_+Epi_L_T2_c	5.491974561	0.368477278	0.000150409	0.323566921	13.29256929	2427.125817	0.045	0	0
Leaf	Ambient	Light	Y	T2	18	Fix_C_+Epi_L_T2_d	5.293973649	0.368404985	7.81E-05	0.168046908	13.29256929	2351.730692	0.048	0	0
Leaf	Ambient	Light	N	T2	18	Fix_C_-Epi_L_T2_a_	5.275789892	0.368398346	7.15E-05	0.153764447	14.01211111	2399.580469	0.028	0	0
Leaf	Ambient	Light	N	T2	18	Fix_C_-Epi_L_T2_b	5.340443251	0.368421952	9.51E-05	0.204546523	14.01211111	2141.072236	0.023	0	0
Leaf	Ambient	Light	N	T2	18	Fix_C_-Epi_L_T2_c_	5.561678963	0.368502728	0.000175859	0.378316259	14.01211111	3118.372205	0.016	0	0
Leaf	Ambient	Light	Ctrl	T2	18	Fix_C_L_T2_C1	4.585817329	0.368146426	-0.000180443	-0.388177024	0.042615485	1682.356355	0.06	0	0
Leaf	Ambient	Light	Ctrl	T2	18	Fix_C_L_T2_C2	5.479852056	0.368472852	0.000145983	0.314045294	0.042615485	3390.765085	0.062	0	0
Leaf	Ambient	Light	Ctrl	T2	18	Fix_C_L_T2_C3	4.30598951	0.368044256	-0.000282613	-0.607969588	0.042615485	1100.171627	0.067	0	0
Leaf	Ambient	Dark	Y	T2	18	Fix_C_D_T2_+Epi_a	4.96666602	0.36828548	-4.14E-05	-0.089037689	15.00826713	2261.555137	0.059	0	0
Leaf	Ambient	Dark	Y	T2	18	Fix_C_D_T2_+Epi_b	3.169504687	0.367629304	-0.000697565	-1.50063355	15.00826713	2130.39748	0.024	0	0
Leaf	Ambient	Dark	Y	T2	18	Fix_C_D_T2_+Epi_c	4.969696647	0.368286586	-4.03E-05	-0.086657273	15.00826713	1778.503801	0.045	0	0
Leaf	Ambient	Dark	Y	T2	18	Fix_C_D_T2_+Epi_d	5.686944846	0.368548464	0.000221596	0.476706304	15.00826713	3147.11193	0.048	0	0
Leaf	Ambient	Dark	N	T2	18	Fix_C_D_T2_-Epi_b	6.756755892	0.368939066	0.000612197	1.316985349	15.14879261	1820.083092	0.028	0	0
Leaf	Ambient	Dark	N	T2	18	Fix_C_D_T2_-Epi_c	5.847568034	0.36860711	0.000280241	0.602867601	15.14879261	3013.714814	0.023	0	0
Leaf	Ambient	Dark	Ctrl	T2	18	Fix_C_D_T2_C1	5.336402416	0.368420476	9.36E-05	0.201372644	0.023769837	2508.642129	0.06	0	0
Leaf	Ambient	Dark	Ctrl	T2	18	Fix_C_D_T2_C2	5.214167159	0.368375846	4.90E-05	0.105362758	0.023769837	2286.039891	0.062	0	0
Leaf	Ambient	Dark	Ctrl	T2	18	Fix_C_D_T2_C3	5.153554636	0.368353716	2.68E-05	0.057754518	0.023769837	2857.027323	0.067	0	0
