sample	site	incubation	treat	time	h	replicate	label	N	C	CN
Leaf	Ambient	dark	N	T1	5	2	Fix_C_D_T1_-Epi_b	1.059872357	39.21276901	43.16390573
Leaf	Ambient	dark	N	T1	5	3	Fix_C_D_T1_-Epi_c	1.105315279	30.20177483	31.87814793
Leaf	Ambient	dark	Ctrl	T1	5	1	Fix_C_D_T1_C1	0.421334785	27.49312891	76.12786358
Leaf	Ambient	dark	Ctrl	T1	5	2	Fix_C_D_T1_C2	1.536321778	40.2200706	30.54270035
Leaf	Ambient	dark	Ctrl	T1	5	3	Fix_C_D_T1_C3	0.856465565	38.56647206	52.53476526
Leaf	Ambient	light	Y	T2	18	1	Fix_C_+Epi_L_T2_a_	0.942275136	36.1680964	44.78109509
Leaf	Ambient	light	Y	T2	18	2	Fix_C_+Epi_L_T2_b	1.414881633	36.13967319	29.79963205
Leaf	Ambient	light	Y	T2	18	3	Fix_C_+Epi_L_T2_c	1.198995118	32.4829757	31.6071387
Leaf	Ambient	light	Y	T2	18	4	Fix_C_+Epi_L_T2_d	1.155130749	32.06563349	32.38586261
Leaf	Ambient	light	N	T2	18	1	Fix_C_-Epi_L_T2_a_	1.104016779	30.86207583	32.61341296
Leaf	Ambient	light	N	T2	18	2	Fix_C_-Epi_L_T2_b	1.036236684	34.26922838	38.58265884
Leaf	Ambient	light	N	T2	18	3	Fix_C_-Epi_L_T2_c_	1.528164366	37.21306126	28.41005792
Leaf	Ambient	light	Ctrl	T2	18	1	Fix_C_L_T2_C1	0.816321197	33.74266673	48.22420961
Leaf	Ambient	light	Ctrl	T2	18	2	Fix_C_L_T2_C2	1.584247575	37.38139366	27.52828954
Leaf	Ambient	light	Ctrl	T2	18	3	Fix_C_L_T2_C3	0.551132966	31.56402184	66.81634814
Leaf	Vent	light	Ctrl	T1	5	3	Fix_A_L_T1_C3_	1.089392552	34.07926889	36.49662096
Leaf	Vent	light	Y	T2	18	1	Fix_A_L_T2_+Epi_a	0.923319753	32.65061332	41.25589436
Leaf	Vent	light	Y	T2	18	2	Fix_A_L_T2_+Epi_b	0.675965188	32.66281081	56.37363181
Leaf	Vent	light	Y	T2	18	3	Fix_A_L_T2_+Epi_c	0.705968898	35.16051809	58.10539893
Leaf	Vent	light	Y	T2	18	4	Fix_A_L_T2_+Epi_d	1.378602829	33.75392751	28.56484934
Leaf	Vent	light	N	T2	18	1	Fix_A_L_T2_-Epi_a	0.707385827	33.53986313	55.31612148
Leaf	Vent	light	N	T2	18	2	Fix_A_L_T2_-Epi_b	0.720554926	34.55874217	55.95483572
Leaf	Vent	light	N	T2	18	3	Fix_A_L_T2_-Epi_c	0.796113987	35.89399813	52.6009238
Leaf	Vent	light	Ctrl	T2	18	1	Fix_A_L_T2_C1	1.329498802	34.41054261	30.19606559
Leaf	Vent	light	Ctrl	T2	18	2	Fix_A_L_T2_C2	1.039532176	35.46808748	39.80582454
Leaf	Vent	light	Ctrl	T2	18	3	Fix_A_L_T2_C3	0.846479989	35.06723303	48.3316468
Leaf	Vent	dark	Y	T2	18	1	Fix_A_D_T2_+Epi_a	0.769433659	36.49082069	55.32981775
Leaf	Vent	dark	Y	T2	18	2	Fix_A_D_T2_+Epi_b	1.353098369	34.80353733	30.00825942
Leaf	Vent	dark	Y	T2	18	3	Fix_A_D_T2_+Epi_c	0.782488838	35.81842685	53.40416712
Leaf	Vent	dark	Y	T2	18	4	Fix_A_D_T2_+Epi_d	0.827351311	32.73394393	46.15886959
Leaf	Vent	dark	N	T2	18	1	Fix_A_D_T2_-Epi_a	1.005634281	32.27200824	37.43973031
Leaf	Vent	dark	N	T2	18	2	Fix_A_D_T2_-Epi_b	0.914320055	31.9364342	40.75069013
Leaf	Vent	dark	N	T2	18	3	Fix_A_D_T2_-Epi_c	0.818315077	31.51641733	44.93275829
Leaf	Vent	dark	Ctrl	T2	18	1	Fix_A_D_T2_C1	1.9039919	36.55647851	22.3998983
Leaf	Vent	dark	Ctrl	T2	18	2	Fix_A_D_T2_C2	0.795686778	33.29884403	48.82405041
Leaf	Vent	dark	Ctrl	T2	18	3	Fix_A_D_T2_C3	1.829634474	37.95048124	24.19912943
Leaf	Ambient	dark	Y	T2	18	1	Fix_C_D_T2_+Epi_a	1.073862838	36.59371624	39.75616571
Leaf	Ambient	dark	Y	T2	18	2	Fix_C_D_T2_+Epi_b	1.021136692	35.72860916	40.82056563
Leaf	Ambient	dark	Y	T2	18	3	Fix_C_D_T2_+Epi_c	0.871473834	34.08405029	45.629282
Leaf	Ambient	dark	Y	T2	18	4	Fix_C_D_T2_+Epi_d	1.450883745	36.46108921	29.31863946
Leaf	Ambient	dark	N	T2	18	2	Fix_C_D_T2_-Epi_b	0.892941712	33.94001133	44.34408129
Leaf	Ambient	dark	N	T2	18	3	Fix_C_D_T2_-Epi_c	1.4386647	35.63040681	28.89402092
Leaf	Ambient	dark	Ctrl	T2	18	1	Fix_C_D_T2_C1	1.488455043	33.41227856	26.18889421
Leaf	Ambient	dark	Ctrl	T2	18	2	Fix_C_D_T2_C2	1.06829286	36.38587047	39.73646536
Leaf	Ambient	dark	Ctrl	T2	18	3	Fix_C_D_T2_C3	1.296291889	37.46356949	33.71732718
Epi	Vent	start	Y	T0	0	1	Fix_A_+Epi_T0_a	1.664513484	18.64050091	13.06522973
Epi	Vent	start	Y	T0	0	2	Fix_A_+Epi_T0_b	1.945739762	19.72434563	11.82672885
Epi	Vent	start	Y	T0	0	3	Fix_A_+Epi_T0_c	1.907842724	15.37530031	9.4021641
Epi	Vent	start	Y	T0	0	4	Fix_A_+Epi_T0_d	1.866294546	18.16649443	11.35632291
Epi	Vent	start	Y	T0	0	5	Fix_A_+Epi_T0_f	1.229304238	17.76124273	16.8562421
Epi	Vent	start	Y	T0	0	6	Fix_A_+Epi_T0_g	1.315137914	17.10580522	15.17466156
Epi	Vent	light	Y	T1	5	1	Fix_A_L_T1_+Epi_a	1.142076346	18.822844	19.22812318
